"西暦","500総トン以上外航船隻数","500総トン以上外航船総トン数","500総トン以上内航船隻数","500総トン以上内航船総トン数","500総トン未満外航船隻数","500総トン未満外航船総トン数","500総トン未満内航船隻数","500総トン未満内航船総トン数"
2023,157,2051,5921,7349,4,2,17388,3548
2022,144,2315,6137,7767,2,1,17878,3776
2021,210,5143,7097,8970,6,3,18304,3967
2020,225,4987,7191,8606,4,1,19702,4021
2019,337,8019,8903,8713,2,1,21387,4358
2018,323,6809,8957,6617,2,1,22473,6753
2017,368,6040,10065,10241,1,1,23983,4825
2016,320,5704,10125,9763,13,5,24297,4791
2015,346,6422,8416,8480,4,2,24165,4614
2014,368,6302,8524,8531,9,4,23747,4496
2013,387,6524,8491,8824,26,13,24799,4698
2012,393,6283,8514,8692,13,6,25672,4538
2011,365,6142,9804,10892,23,5,26480,4837
2010,312,5845,10263,17528,14,4,29919,5732
2009,337,4939,10907,13118,39,9,30753,5781
2008,728,6974,14724,15000,35,10,33556,5898
2007,414,7128,14892,14883,30,9,35320,5759
2006,453,6760,13752,13870,23,8,39473,5915
2005,375,6822,17189,15735,21,7,43574,6758
2004,390,6816,17704,16625,4,1,37821,6578
2003,326,6335,18333,17359,3,1,37587,6987
2002,359,7119,17571,16170,20,6,37082,7508
2001,264,6419,18115,16668,,,35688,7161
